system:index,mean_bui,mean_lst,mean_ndvi,mean_ndwi,year,.geo
0,-9999,-9999,-9999,-9999,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-9999,-9999,-9999,-9999,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-9999,-9999,-9999,-9999,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4096.382284869505,4096.3822848695045,0.09777889747039299,-0.019771514939012597,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4076.2173078651144,4076.2173078651167,0.11917533981341087,-0.04619159031387673,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3219.2338576997013,3219.2338576997017,0.09108078944134695,0.030010546466077405,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3379.599792998669,3379.5997929986697,0.07962695857476489,0.03560141030754478,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3685.8514346784345,3685.851434678435,0.08058644500495138,0.025199407596444793,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3092.0423718555226,3092.0423718555226,0.09372978088263521,0.035471540959816486,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3883.6133763766356,3883.613376376637,0.10954424951124705,-0.02455637412135965,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3889.2968029224417,3889.296802922441,0.12781901015440092,-0.04739161513880844,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3602.056529454926,3602.056529454926,0.09195470038828082,1.523546860461574E-4,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3373.4249867270632,3373.4249867270632,0.10090905308970262,0.01177078472041662,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3467.146182737016,3467.146182737016,0.09397611583568528,0.010498249947279693,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3659.849311242356,3659.849311242358,0.11516791629771687,-0.016501948873734355,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3547.4829888929826,3547.4829888929826,0.05389849094699403,0.03934754379927816,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3832.397582427554,3832.397582427556,0.11117625323113058,-0.027938562347591962,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3639.5526482607097,3639.5526482607083,0.06445553058229492,0.0390382567156524,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4246.948917118004,4246.948917118004,0.1138591721237496,-0.04057534560200136,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
