,year,mean_ndvi
3,1988,0.09777125547186608
4,1989,0.11916921926513249
5,1990,0.09106924509176478
6,1991,0.07962257512965905
7,1992,0.0805831253786422
8,1993,0.09372522356630904
9,1994,0.10953482383861696
10,1995,0.12781605960896467
11,1996,0.09194723482973055
12,1997,0.10090896901187842
13,1998,0.09396956880163782
14,1999,0.1151623489526473
15,2000,0.053891545142376054
16,2001,0.11116876459905306
17,2002,0.06445219160005765
18,2003,0.11385020388392718
19,2004,0.06824473601382319
20,2005,0.09895659375760574
21,2006,0.10020514689857091
22,2007,0.09041355132631151
23,2008,0.10143238411765358
24,2009,0.1070876868213403
25,2010,0.07335647649521725
26,2011,0.10436556227342488
27,2012,0.04893791484897812
28,2013,0.08726973528690156
29,2014,0.12160241932916378
30,2015,0.11260638417660129
31,2016,0.09486804439635273
32,2017,0.10143583979017132
33,2018,0.12283641396118267
34,2019,0.1176746509848915
35,2020,0.09797994509342113
36,2021,0.12480453997497387
37,2022,0.11561944053262335
38,2023,0.1481434128331374
39,2024,0.1352657583158192
