Location,LandUse,Latitude,Longitude,Stock,SOCT,pH,TN,Clay,SBD,SOC%,SOCw,SOCi,CEC
Ajmiriganj,Irrigated Boro-Fallow,24.5015,91.376917,351.12,44.63,3.97,0.08,46.66,1.78,1.83,18.33,228.43,235.79
Balaganj,Jute-T Aman-Fallow/Rabi Crops,24.431333,91.227111,148.71,15.9,6.14,0.08,41.66,2.03,0.63,6.3,89.67,151.29
Goainghat,Rabi Crops-Fallow,25.0229,91.1975,149.65,19.37,6.54,0.09,39.24,1.78,0.84,8.37,104.44,159.84
Hakaluki,Boro-Fallow,24.301139,91.534306,109.14,16.7,5.28,0.04,28.57,1.8,0.35,3.45,43.35,127.84
Kanairghat,Grassland,24.282694,91.244306,151.46,18.37,5.54,0.07,32.7,2.08,0.62,6.17,89.79,138.46
Phagu,Boro-Fallow,24.902556,91.00525,98.34,14.08,5.83,0.07,63.41,1.25,0.77,7.73,67.67,241.66
Sarail,Irrigated Boro,24.103722,91.144583,96.25,13.1,5.22,0.13,23.26,2.0,0.28,2.75,38.5,115.65
Sulla,Boro-Fallow,24.592194,91.300389,225.03,24.45,5.27,0.08,29.5,2.05,1.02,10.2,146.37,152.49
Terchibari,Boro-Fallow,24.810611,91.3805,128.83,19.17,6.47,0.12,53.34,1.58,0.78,7.77,86.08,235.72
