Series Name,Latitude,Longitude
Ajmiraganj,24.5015,91.376917
Balaganj,24.431333,91.227111
Goanighat,24.913444,91.030444
Hakaluki,24.301139,91.534306
Kanairghat,24.282694,91.244306
Phagu,24.902556,91.00525
Sarail,24.103722,91.144583
Sulla,24.592194,91.300389
Terchibari,24.810611,91.3805
