Year,pH_Satellite_Derived,TN_Satellite_Derived,SBD_Satellite_Derived,Clay_Satellite_Derived,NDVI,NDWI,BUI,LST
1988,4.7444,0.1222,1.6544,48.0211,0.0978,-0.0198,4096.3823,4096.3823
1989,4.7444,0.1222,1.6544,48.0211,0.1192,-0.0462,4076.2173,4076.2173
1990,4.7444,0.1222,1.6544,48.0211,0.0911,0.03,3219.2339,3219.2339
1991,4.7444,0.1222,1.6544,48.0211,0.0796,0.0356,3379.5998,3379.5998
1992,4.7444,0.1222,1.6544,48.0211,0.0806,0.0252,3685.8514,3685.8514
1993,4.7444,0.1222,1.6544,48.0211,0.0937,0.0355,3092.0424,3092.0424
1994,4.7444,0.1222,1.6544,48.0211,0.1095,-0.0246,3883.6134,3883.6134
1995,4.7444,0.1222,1.6544,48.0211,0.1278,-0.0474,3889.2968,3889.2968
1996,4.7444,0.1222,1.6544,48.0211,0.092,0.0002,3602.0565,3602.0565
1997,4.7444,0.1222,1.6544,48.0211,0.1009,0.0118,3373.425,3373.425
1998,4.7444,0.1222,1.6544,48.0211,0.094,0.0105,3467.1462,3467.1462
1999,4.7444,0.1222,1.6544,48.0211,0.1152,-0.0165,3659.8493,3659.8493
2000,4.7444,0.1222,1.6544,48.0211,0.0539,0.0393,3547.483,3547.483
2001,4.7444,0.1222,1.6544,48.0211,0.1112,-0.0279,3832.3976,3832.3976
2002,4.7444,0.1222,1.6544,48.0211,0.0645,0.039,3639.5526,3639.5526
2003,4.7444,0.1222,1.6544,48.0211,0.1139,-0.0406,4246.9489,4246.9489
2004,4.7444,0.1222,1.6544,48.0211,0.0683,0.0312,3732.3494,3732.3494
2005,4.7444,0.1222,1.6544,48.0211,0.099,0.007,3772.166,3772.166
2006,4.7444,0.1222,1.6544,48.0211,0.1002,-0.0141,3905.0959,3905.0959
2007,4.7444,0.1222,1.6544,48.0211,0.0904,0.0019,3844.8479,3844.8479
2008,4.7444,0.1222,1.6544,48.0211,0.1014,-0.0082,3969.6006,3969.6006
2009,4.7444,0.1222,1.6544,48.0211,0.1071,-0.0197,4117.498,4117.498
2010,4.7444,0.1222,1.6544,48.0211,0.0734,0.0169,3905.4441,3905.4441
2011,4.7444,0.1222,1.6544,48.0211,0.1044,-0.0014,4021.4034,4021.4034
2012,4.7444,0.1222,1.6544,48.0211,0.0489,0.0525,3665.9518,3665.9518
2013,4.7444,0.1222,1.6544,48.0211,0.0873,-0.0266,3404.2004,3404.2004
2014,4.7444,0.1222,1.6544,48.0211,0.1216,-0.0698,3870.3404,3870.3404
2015,4.7444,0.1222,1.6544,48.0211,0.1126,-0.0565,3737.6798,3737.6798
2016,4.7444,0.1222,1.6544,48.0211,0.0949,-0.0395,3559.649,3559.649
2017,4.7444,0.1222,1.6544,48.0211,0.1014,-0.0505,3649.7594,3649.7594
2018,4.7444,0.1222,1.6544,48.0211,0.1228,-0.0671,3766.4623,3766.4623
2019,4.7444,0.1222,1.6544,48.0211,0.1177,-0.0675,3882.5493,3882.5493
2020,4.7444,0.1222,1.6544,48.0211,0.098,-0.0317,3399.9901,3399.9901
2021,4.7444,0.1222,1.6544,48.0211,0.1248,-0.0676,3660.4988,3660.4988
2022,4.7444,0.1222,1.6544,48.0211,0.1156,-0.0581,3990.9232,3990.9232
2023,4.7444,0.1222,1.6544,48.0211,0.1481,-0.0822,4051.0645,4051.0645
2024,4.7444,0.1222,1.6544,48.0211,0.1353,-0.1213,3893.7212,3893.7212
2025,4.7444,0.1222,1.6544,48.0211,0.1585,-0.1443,3557.2001,3557.2001
