Year,SOC_Satellite_Derived,NDVI_Vegetation_Index,NDWI_Water_Index,BUI_Built_Up_Index,LST_Land_Surface_Temp
1988,1.2744,0.0977788974703929,-0.0197715149390125,4096.382284869505,4096.3822848695045
1989,1.2744,0.1191753398134108,-0.0461915903138767,4076.2173078651135,4076.2173078651167
1990,1.2744,0.0910807894413469,0.0300105464660774,3219.2338576997013,3219.2338576997017
1991,1.2744,0.0796269585747648,0.0356014103075447,3379.599792998669,3379.5997929986697
1992,1.2744,0.0805864450049513,0.0251994075964447,3685.8514346784345,3685.851434678435
1993,1.2744,0.0937297808826352,0.0354715409598164,3092.0423718555226,3092.0423718555226
1994,1.2744,0.109544249511247,-0.0245563741213596,3883.613376376636,3883.613376376637
1995,1.2744,0.1278190101544009,-0.0473916151388084,3889.2968029224417,3889.296802922441
1996,1.2744,0.0919547003882808,0.0001523546860461,3602.056529454926,3602.056529454926
1997,1.2744,0.1009090530897026,0.0117707847204166,3373.4249867270632,3373.4249867270632
1998,1.2744,0.0939761158356852,0.0104982499472796,3467.146182737016,3467.146182737016
1999,1.2744,0.1151679162977168,-0.0165019488737343,3659.849311242356,3659.849311242358
2000,1.2744,0.053898490946994,0.0393475437992781,3547.4829888929826,3547.4829888929826
2001,1.2744,0.1111762532311305,-0.0279385623475919,3832.397582427554,3832.397582427556
2002,1.2744,0.0644555305822949,0.0390382567156524,3639.5526482607097,3639.552648260708
2003,1.2744,0.1138591721237496,-0.0405753456020013,4246.948917118004,4246.948917118004
2004,1.2744,0.0682521216300337,0.0312459129026618,3732.349418468689,3732.3494184686906
2005,1.2744,0.0989693883049491,0.0070238790166191,3772.1659896994247,3772.1659896994256
2006,1.2744,0.1002096102457189,-0.014097242146006,3905.0959052474286,3905.0959052474286
2007,1.2744,0.0904201335150511,0.0019254999181103,3844.847897599645,3844.847897599646
2008,1.2744,0.101437568881498,-0.0081970340755841,3969.6005539237,3969.6005539237
2009,1.2744,0.1070913266794366,-0.0196806944051261,4117.49796486775,4117.49796486775
2010,1.2744,0.0733615476157789,0.0169008324118963,3905.444113539899,3905.4441135398974
2011,1.2744,0.104371219248696,-0.0013561347133424,4021.403441255634,4021.4034412556334
2012,1.2744,0.0489377805126971,0.0524855472241752,3665.951787991127,3665.951787991127
2013,1.2744,0.0872739330863916,-0.0266138307822731,3404.2003828197444,3404.200382819745
2014,1.2744,0.1216067650226782,-0.0698434234869981,3870.340386891988,3870.340386891988
2015,1.2744,0.1126115728038624,-0.0564940548804294,3737.679774031196,3737.679774031195
2016,1.2744,0.0948716256869667,-0.0395328570064308,3559.6490278634724,3559.649027863471
2017,1.2744,0.1014426686235931,-0.0504853584153601,3649.7594360431694,3649.7594360431694
2018,1.2744,0.1228413510309814,-0.0670651133200481,3766.462284886553,3766.462284886553
2019,1.2744,0.1176807057575159,-0.067475763488029,3882.5493423460703,3882.54934234607
2020,1.2744,0.0979840375336766,-0.0317373761722935,3399.990148181814,3399.9901481818138
2021,1.2744,0.124810603949048,-0.0676175860934179,3660.498807734669,3660.498807734669
2022,1.2744,0.1156259006254943,-0.0581006306722405,3990.92322387879,3990.9232238787886
2023,1.2744,0.1481475483098791,-0.0822040587134059,4051.064478754244,4051.0644787542446
2024,1.2744,0.1352692436378384,-0.1212673333417198,3893.72121445612,3893.721214456119
2025,1.2744,0.1585205534005982,-0.1443463076872812,3557.200140215567,3557.200140215567
