Location,LandUse,Latitude,Longitude,Stock,SOCT,pH,TN,Clay,SBD,SOC%,SOCw,SOCi,CEC
Ajmiriganj,Irrigated Boro-Fallow,24.5015,91.376917,351.12,44.63,4.1,0.15,55.44,1.56,2.63,26.3,122.69,198.75
Balaganj,Jute-T Aman-Fallow/Rabi Crops,24.431333,91.227111,148.71,15.9,5.39,0.12,49.63,2.05,0.96,9.6,59.04,206.9
Goainghat,Rabi Crops-Fallow,25.0229,91.1975,149.65,19.37,5.86,0.11,67.56,1.37,1.1,11.0,45.21,271.5
Hakaluki,Boro-Fallow,24.301139,91.534306,109.14,16.7,4.34,0.11,33.56,1.66,1.325,13.25,65.79,167.48
Kanairghat,Grassland,24.282694,91.244306,151.46,18.37,4.02,0.13,35.96,1.69,1.22,12.2,61.67,180.39
Phagu,Boro-Fallow,24.902556,91.00525,98.34,14.08,5.25,0.1,48.88,1.61,0.635,6.35,30.67,203.98
Sarail,Irrigated Boro,24.103722,91.144583,96.25,13.1,4.19,0.12,37.27,1.86,1.035,10.35,57.75,184.29
Sulla,Boro-Fallow,24.592194,91.300389,225.03,24.45,4.31,0.13,31.69,1.84,1.425,14.25,78.66,167.49
Terchibari,Boro-Fallow,24.810611,91.3805,128.83,19.17,5.24,0.13,72.2,1.25,1.14,11.4,42.75,325.0
