Site Name,SOCt,TN,pH,Clay,SBD,CEC,Latitude,Longitude,Stock,LandUse
Ajmiraganj,44.63,0.11,4.03,51.05,1.69,217.27,24.5015,91.376917,351.12,Irrigated Boro-Fallow
Balagagonj,15.9,0.1,5.76,45.64,2.04,179.09,24.431333,91.227111,148.71,Jute-T Aman-Fallow/Rabi Crops
Goainghat,19.37,0.1,6.2,53.4,1.62,215.67,25.0229,91.1975,149.95,Rabi Crops-Fallow
Hakaluki Haor,16.7,0.07,4.81,31.06,1.73,147.66,24.301139,91.534306,109.14,Boro-Fallow
Kanairghat,18.37,0.1,4.78,34.33,1.92,159.42,24.282694,91.244306,151.46,Grassland
Phagu,14.08,0.09,5.54,56.14,1.39,222.82,24.902556,91.00525,98.34,Boro-Fallow
Sarail,13.1,0.12,4.71,30.26,1.93,149.97,24.103722,91.144583,96.25,Irrigated Boro
Sulla,24.45,0.11,4.79,30.59,1.97,159.99,24.592194,91.300389,225.03,Boro-Fallow
Terchibari,19.17,0.12,5.85,62.77,1.45,280.36,24.810611,91.3805,128.83,Boro-Fallow
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
