Location,LandUse,Latitude,Longitude,pHT,pHS,TNT,TNS,ClayT,ClayS,SBDT,SBDS,SOC%T,SOC%S,SOCwT,SOCwS,SOCT,SOCiT,SOCiS,Stock,CECT,CECS
Ajmiriganj,Irrigated Boro-Fallow,24.5015,91.376917,4.1,3.97,0.15,0.08,55.44,46.66,1.56,1.78,2.63,1.83,26.3,18.33,44.63,122.69,228.43,351.12,198.75,235.79
Balaganj,Jute-T Aman-Fallow/Rabi Crops,24.431333,91.227111,5.39,6.14,0.12,0.08,49.63,41.66,2.05,2.03,0.96,0.63,9.6,6.3,15.9,59.04,89.67,148.71,206.9,151.29
Goainghat,Rabi Crops-Fallow,25.0229,91.1975,5.86,6.54,0.11,0.09,67.56,39.24,1.37,1.78,1.1,0.84,11,8.37,19.37,45.21,104.44,149.65,271.5,159.84
Hakaluki,Boro-Fallow,24.301139,91.534306,4.34,5.28,0.11,0.04,33.56,28.57,1.66,1.8,1.325,0.35,13.25,3.45,16.7,65.79,43.35,109.14,167.48,127.84
Kanairghat,Grassland,24.282694,91.244306,4.02,5.54,0.13,0.07,35.96,32.7,1.69,2.08,1.22,0.62,12.2,6.17,18.37,61.67,89.79,151.46,180.39,138.46
Phagu,Boro-Fallow,24.902556,91.00525,5.25,5.83,0.1,0.07,48.88,63.41,1.61,1.25,0.635,0.77,6.35,7.73,14.08,30.67,67.67,98.34,203.98,241.66
Sarail,Irrigated Boro,24.103722,91.144583,4.19,5.22,0.12,0.13,37.27,23.26,1.86,2,1.035,0.28,10.35,2.75,13.1,57.75,38.5,96.25,184.29,115.65
Sulla,Boro-Fallow,24.592194,91.300389,4.31,5.27,0.13,0.08,31.69,29.5,1.84,2.05,1.425,1.02,14.25,10.2,24.45,78.66,146.37,225.03,167.49,152.49
Terchibari,Boro-Fallow,24.810611,91.3805,5.24,6.47,0.13,0.12,72.2,53.34,1.25,1.58,1.14,0.78,11.4,7.77,19.17,42.75,86.08,128.83,325,235.72
Zakiganj,,,5.08,4.91,0.07,0.03,42.33,36,1.53,1.44,0.79,0.33,7.9,3.3,11.2,36.26,33.26,69.53,,,
Kulaura,,,5.6,5.81,0.07,0.09,50,61.67,1.67,1.73,0.81,0.53,8.1,5.3,13.4,40.58,64.18,104.76,,,
BRRI Site,,,6.86,6.67,0.08,0.07,6,6,1.48,1.6,0.2,0.16,2,1.6,3.6,8.88,17.92,26.8,,,
